date,long,short,long-short portfolio
20140305,0.0030654636,0.00033837705,0.0034038406
20140306,-0.002457118,0.0026443023,0.00018718443
20140307,-0.03689616,0.038710892,0.0018147305
20140310,0.003692356,0.0045222417,0.008214598
20140311,0.002119327,0.004214667,0.0063339937
20140312,0.011800112,-0.011579308,0.00022080448
20140313,-0.0024199137,0.0035142882,0.0010943746
20140314,0.018727694,-0.021923132,-0.0031954385
20140317,0.004295737,-0.0056910217,-0.0013952847
20140318,0.0032903044,0.000118622615,0.003408927
20140319,-0.023601156,0.025142286,0.0015411302
20140320,0.021871423,-0.016098281,0.005773142
20140321,0.010038932,-0.0049170274,0.0051219044
20140324,0.0025526106,0.0011549405,0.003707551
20140325,0.0023483043,-0.0042258985,-0.0018775943
20140326,-0.015639365,0.01813395,0.0024945848
20140327,-0.017291049,0.02225088,0.004959831
20140328,-0.005306262,0.006643323,0.0013370612
20140331,0.014802972,-0.013235532,0.0015674401
20140401,-0.0006054393,0.0012854075,0.00067996816
20140402,0.00094925135,0.0021076065,0.0030568577
20140403,0.010076781,-0.01082979,-0.00075300876
20140404,0.009976995,-0.00863118,0.0013458151
20140408,0.0084774885,-0.010036946,-0.0015594577
20140409,0.004838445,-0.0036785998,0.0011598454
20140410,-0.0026637672,0.004357739,0.0016939717
20140411,0.008325702,-0.0072458545,0.0010798471
20140414,-0.0070149684,0.007679121,0.00066415267
20140415,0.0026027763,-0.0010722897,0.0015304866
20140416,0.00082109123,0.0008334719,0.0016545631
20140417,0.0042780563,-0.0019520788,0.0023259777
20140418,-0.016417507,0.015318615,-0.0010988917
20140421,-0.007725723,0.0056206314,-0.0021050917
20140422,-0.0013391945,0.0037634545,0.0024242601
20140423,-0.009037234,0.007265441,-0.0017717928
20140424,-0.019188909,0.018239725,-0.0009491835
20140425,-0.031128593,0.028739583,-0.00238901
20140428,0.013594646,-0.012085626,0.0015090201
20140429,0.008446554,-0.007013116,0.0014334377
20140430,0.009450305,-0.00996512,-0.00051481463
20140505,0.0068785567,-0.005132962,0.0017455947
20140506,-0.015714623,0.014515292,-0.0011993311
20140507,0.0019199875,-0.0015496607,0.0003703268
20140508,-0.0064725215,0.008750748,0.0022782264
20140509,0.025688,-0.021729318,0.0039586816
20140512,-0.00085902447,0.0015507404,0.000691716
20140513,-0.00015823182,0.0014237959,0.0012655641
20140514,-0.018793173,0.01747841,-0.001314763
20140515,-0.0010269927,0.0020646385,0.0010376459
20140516,-0.0034662362,0.0051975315,0.0017312954
20140519,0.0034961202,-0.0032128384,0.00028328178
20140520,0.009918365,-0.008905362,0.0010130024
20140521,-0.0010789043,0.00021870041,-0.0008602039
20140522,0.010833471,-0.0076081315,0.0032253396
20140523,0.010680855,-0.010682387,-1.5320256e-06
20140526,-0.0032024432,0.0025187735,-0.0006836697
20140527,0.012428342,-0.009152948,0.0032753944
20140528,-0.010228759,0.011954048,0.001725289
20140529,0.0029512893,-0.0020266697,0.0009246196
20140530,-0.0016814611,0.0014586968,-0.00022276433
