date,long,short,long-short portfolio
20190102,-0.0007654813,0.0063602612,0.0055947797
20190103,0.027137797,-0.024047397,0.0030904002
20190104,0.020256218,-0.01850015,0.0017560683
20190107,0.0017988656,0.0010391586,0.0028380242
20190108,0.0041085277,-0.0033507058,0.00075782184
20190109,-0.0021707257,-0.0015618219,-0.0037325476
20190110,0.009668443,-0.0071158716,0.0025525717
20190111,-0.0037304796,0.00497576,0.0012452803
20190114,0.012392861,-0.011795271,0.00059758965
20190115,-0.0010274786,0.0033910586,0.00236358
20190116,-0.0072786473,0.010658301,0.0033796541
20190117,0.006498457,-0.0035619922,0.0029364647
20190118,0.005875404,-0.0051989947,0.00067640934
20190121,-0.010955078,0.011472849,0.0005177716
20190122,0.0009374271,-0.0027991128,-0.0018616857
20190123,0.0037325309,-0.003736709,-4.178146e-06
20190124,-0.008403811,0.0065289047,-0.001874906
20190125,-0.008327758,0.0062256437,-0.0021021143
20190128,-0.01951421,0.01631285,-0.0032013599
20190129,-0.014644796,0.013589906,-0.0010548905
20190130,-0.019880176,0.010040953,-0.009839223
20190131,0.027909676,-0.025162738,0.0027469378
20190201,0.02832206,-0.025434287,0.0028877724
20190211,0.018052097,-0.010674824,0.0073772734
20190212,0.018765554,-0.016559992,0.0022055618
20190213,0.006850204,-0.004492146,0.002358058
20190214,0.0009028385,0.005484366,0.0063872044
20190215,0.034289625,-0.034084864,0.00020476058
20190218,0.00988568,-0.0017382156,0.008147464
20190219,0.00516783,-0.0049063875,0.00026144227
20190220,-0.0017575182,0.003989783,0.002232265
20190221,0.024155736,-0.021503447,0.0026522893
20190222,0.051060695,-0.049001023,0.002059672
20190225,0.0062073185,0.0035548552,0.0097621735
20190226,0.0021391155,0.0027542748,0.0048933905
20190227,0.0026261513,-0.004180965,-0.0015548137
20190228,0.0067606904,-0.0087038055,-0.0019431151
20190301,0.01916832,-0.016301878,0.0028664414
20190304,0.030916926,-0.023186104,0.007730821
20190305,0.026679754,-0.018071823,0.008607931
20190306,0.020491738,-0.01044919,0.010042548
20190307,-0.047961093,0.042182095,-0.005778998
20190308,0.040593404,-0.040613223,-1.9818544e-05
20190311,0.019838355,-0.017375343,0.002463013
20190312,-0.012583186,0.02229274,0.009709555
20190313,-0.02651312,0.029309466,0.0027963463
20190314,0.016558282,-0.015044955,0.0015133275
20190315,0.022766951,-0.024215113,-0.0014481619
20190318,0.0059077954,-0.002959141,0.0029486543
20190319,0.0058860425,-0.0009221124,0.00496393
20190320,0.011250991,-0.01200111,-0.00075011887
20190321,0.009053764,-0.004319532,0.004734232
20190322,-0.007136255,0.013392291,0.006256036
20190325,-0.023542814,0.028422622,0.004879808
20190326,0.0054758154,-0.0058562867,-0.00038047135
20190327,-0.015967999,0.015408677,-0.0005593216
20190328,0.027674675,-0.026769564,0.00090511143
20190329,0.03507789,-0.036346763,-0.0012688749
20190401,0.007241955,-0.005561281,0.001680674
20190402,0.014574471,-0.009362897,0.005211574
20190403,0.007003704,-0.0032061003,0.0037976038
20190404,0.0018565652,0.0016042888,0.003460854
20190408,0.0038541304,-0.006549256,-0.0026951255
20190409,0.0014599635,0.0011555275,0.002615491
20190410,-0.016094793,0.018149942,0.0020551495
20190411,0.0014396122,0.0018162555,0.0032558679
20190412,-0.0064549576,0.009238442,0.0027834848
20190415,0.020164087,-0.01984793,0.00031615794
20190416,0.00983097,-0.007900338,0.0019306326
20190417,-0.0062114727,0.0043445667,-0.001866906
20190418,0.0067497245,-0.010024216,-0.0032744915
20190419,-0.0121123055,0.012443316,0.00033101067
20190422,-0.016825076,0.018237965,0.001412889
20190423,0.0066657932,-0.011119349,-0.0044535557
20190424,-0.038475093,0.042711504,0.0042364113
20190425,-0.013346691,0.014225185,0.00087849423
20190426,0.0,0.0,0.0
20190429,0.0,0.0,0.0
20190430,-0.08665848,0.10124041,0.014581934
20190506,0.0141346855,-0.011581096,0.0025535896
20190507,-0.00176447,0.006005559,0.0042410893
20190508,-0.008430267,0.010584122,0.0021538548
20190509,0.034386072,-0.034281455,0.00010461733
20190510,-0.006337174,0.0055650547,-0.0007721195
20190513,-0.007855775,0.007637319,-0.00021845568
20190514,0.024020102,-0.023458168,0.00056193396
20190515,0.009740667,-0.007885393,0.0018552747
20190516,-0.035178732,0.03393428,-0.0012444519
20190517,-0.004049028,0.005077041,0.0010280134
20190520,0.018553328,-0.018353906,0.00019942224
20190521,-0.006826323,0.0062154643,-0.00061085867
20190522,-0.02306953,0.022497863,-0.00057166815
20190523,-0.007737899,0.008097828,0.00035992917
20190524,0.02651574,-0.024645122,0.0018706191
20190527,0.0025224076,-0.0018908657,0.0006315418
20190528,0.0035203658,-0.0037818383,-0.00026147254
20190529,-0.0074214498,0.004247765,-0.0031736847
20190530,-0.0024209009,0.002740892,0.00031999126
20190531,-0.016699664,0.012201728,-0.004497936
20190603,-0.016705304,0.016064605,-0.00064069964
20190604,-0.0007343065,-0.0009461441,-0.0016804506
20190605,-0.02348096,0.021471594,-0.0020093657
20190606,0.01102744,-0.010712694,0.00031474605
20190610,0.039142694,-0.03286413,0.0062785633
20190611,-0.004223564,0.004231891,8.326955e-06
20190612,0.010340411,-0.003080104,0.007260307
20190613,-0.022527106,0.018915767,-0.0036113393
20190614,0.0009354322,0.00011887972,0.0010543119
20190617,-0.0007150222,0.0015755661,0.0008605439
20190618,0.015892427,-0.011893572,0.003998855
20190619,0.01763777,-0.015385309,0.0022524614
20190620,0.021502927,-0.016172646,0.0053302813
20190621,0.0018867031,-0.0012237937,0.00066290936
20190624,-0.010691095,0.0077346344,-0.0029564607
20190625,-0.0007134187,0.0021343294,0.0014209107
20190626,0.005253059,-0.006460282,-0.0012072232
20190627,-0.01363183,0.011610828,-0.0020210017
20190628,0.02909233,-0.026665125,0.0024272054
20190701,0.00055727747,0.0011697295,0.001727007
20190702,-0.010029702,0.008787662,-0.0012420407
20190703,-0.002842508,0.003339958,0.0004974499
20190704,0.0034958108,-0.0013350322,0.0021607787
20190705,-0.035066877,0.034380645,-0.000686232
20190708,0.005632839,-0.0029275706,0.0027052686
20190709,-0.007355162,0.007800524,0.00044536218
20190710,0.0010977902,-0.00041827332,0.0006795169
20190711,0.0044536665,-0.0025136005,0.001940066
20190712,0.009751903,-0.008639663,0.0011122394
