date,long,short,long-short portfolio
20140819,0.0023600848,0.0012219519,0.0035820366
20140820,0.0016283673,-0.0005389524,0.0010894149
20140821,0.009411238,-0.0042909137,0.0051203244
20140822,-0.003213141,0.009744607,0.006531466
20140825,-0.016506642,0.01985467,0.0033480283
20140826,0.0046073324,-0.0039088693,0.00069846306
20140827,-0.006617534,0.008588271,0.0019707372
20140828,0.011242478,-0.009818467,0.0014240108
20140829,0.016403839,-0.018100938,-0.0016970988
20140901,0.014823038,-0.014959491,-0.00013645273
20140902,0.009230863,-0.0067695887,0.0024612746
20140903,0.009864487,-0.008281093,0.0015833937
20140904,0.006205775,-0.0036952351,0.0025105397
20140905,0.0065986323,-0.0075782794,-0.000979647
20140909,0.006290779,-0.004786862,0.0015039169
20140910,0.00069629255,0.0024838445,0.0031801371
20140911,0.013835711,-0.0113083385,0.002527373
20140912,0.0125879515,-0.010696443,0.0018915087
20140915,-0.023671826,0.036463775,0.012791948
20140916,0.009288343,-0.006033982,0.0032543605
20140917,0.0074201114,-0.006835103,0.0005850084
20140918,0.01059893,-0.009201759,0.001397171
20140919,-0.010512879,0.013495087,0.0029822076
20140922,0.013767081,-0.013217254,0.0005498277
20140923,0.015491909,-0.0126881,0.002803809
20140924,0.0018340575,-0.00062013895,0.0012139186
20140925,0.006222273,-0.0050324295,0.0011898438
20140926,0.012927232,-0.009519985,0.0034072474
20140929,0.008643918,-0.0045130663,0.0041308515
20140930,0.012848625,-0.014290307,-0.0014416818
20141008,0.0032657129,-0.002477022,0.000788691
20141009,-0.002652804,0.005691352,0.003038548
20141010,0.0013842162,-0.0012354045,0.00014881173
20141013,-0.00070705,0.0042882636,0.0035812135
20141014,0.0056440253,-0.0019327418,0.0037112834
20141015,-0.011033656,0.016819036,0.0057853796
20141016,-0.010144852,0.01292936,0.0027845083
20141017,0.013177638,-0.015406873,-0.0022292351
20141020,-0.007928411,0.009775586,0.0018471759
20141021,-0.013078004,0.013475031,0.00039702654
20141022,-0.01587198,0.017558523,0.0016865432
20141023,0.004132854,-0.0013409732,0.0027918806
20141024,0.009637828,-0.0055928715,0.0040449565
20141027,0.025984842,-0.02700567,-0.0010208283
20141028,0.014718643,-0.014844572,-0.00012592878
20141029,0.0037313893,0.001177154,0.004908543
20141030,0.0007091676,0.002223099,0.0029322668
20141031,0.011439158,-0.010192821,0.0012463368
20141103,0.00012000697,0.0056541804,0.0057741874
20141104,0.0006633809,0.0006035508,0.0012669316
20141105,0.0077877105,-0.007213346,0.0005743643
20141106,-0.008153878,0.009322779,0.0011689011
20141107,0.0091302935,-0.01009427,-0.0009639766
20141110,-0.02944779,0.032873344,0.0034255534
20141111,0.015135358,-0.016010126,-0.000874768
20141112,-0.0104791,0.013040992,0.0025618924
20141113,-0.0016774796,0.0044360314,0.0027585519
20141114,0.012662429,-0.010626517,0.0020359121
20141117,0.002971128,-0.00402654,-0.001055412
20141118,0.0084207,-0.004248888,0.004171812
20141119,-0.0005096404,0.00019688567,-0.0003127547
20141120,0.011442037,-0.012106857,-0.00066481996
20141121,0.010802301,-0.016060665,-0.0052583646
20141124,0.015753536,-0.015907051,-0.00015351549
20141125,0.006490376,-0.0052635306,0.0012268452
20141126,0.008016694,-0.008411162,-0.00039446726
20141127,0.0024013636,-0.003762684,-0.0013613205
20141128,-0.010341903,0.0056023803,-0.004739523
20141201,0.010420013,-0.016897067,-0.006477054
20141202,0.008879509,-0.0102884695,-0.0014089607
20141203,0.013603304,-0.024043467,-0.010440163
20141204,-0.025385652,0.020413734,-0.0049719177
20141205,-0.0005181213,-0.015938785,-0.016456906
20141208,-0.042290747,0.046517067,0.0042263195
20141209,0.032166198,-0.035567656,-0.0034014583
20141210,0.016130645,-0.009056748,0.007073897
20141211,0.012717752,-0.00789945,0.0048183016
20141212,0.016822062,-0.0129273385,0.003894724
20141215,-0.0037695733,-0.007058666,-0.01082824
20141216,-0.013168611,0.008485647,-0.0046829637
20141217,-0.0045627886,-0.0012108566,-0.0057736454
20141218,-0.015845973,-0.0031833411,-0.019029314
20141219,-0.04815741,0.028319687,-0.019837722
20141222,-0.009456843,0.026986498,0.017529655
20141223,0.022412438,-0.0037390545,0.018673383
20141224,0.012653483,-0.023450656,-0.010797173
20141225,0.0045972113,-0.014484765,-0.009887554
20141226,-0.020436054,0.0065969513,-0.013839103
20141229,-0.01570223,0.019500535,0.0037983041
20141230,0.011772532,-0.011753777,1.8754974e-05
20141231,0.009975051,-0.019656876,-0.0096818255
20150105,0.022602778,-0.00881917,0.013783608
20150106,7.345676e-05,-0.00093580235,-0.00086234557
20150107,0.0025297836,0.015256755,0.017786538
20150108,-0.006487472,0.010503462,0.0040159896
20150109,-0.010659562,0.020959128,0.010299565
20150112,0.020062588,-0.008650168,0.01141242
20150113,-0.002624338,0.0067384625,0.0041141245
20150114,0.005319533,-0.01620995,-0.010890418
20150115,0.015024013,-0.008827502,0.006196511
20150116,-0.02233326,0.053095557,0.030762296
20150119,0.03781845,-0.029552612,0.008265838
20150120,0.02490822,-0.02720393,-0.0022957101
20150121,0.015587354,-0.013799676,0.0017876783
20150122,-0.008344475,0.0049822265,-0.0033622487
20150123,0.020586036,-0.018040638,0.0025453977
20150126,0.005829394,-0.003630497,0.0021988968
20150127,-0.0022781473,0.0076944,0.0054162527
20150128,-0.003810421,0.0077999993,0.003989578
20150129,-0.008848175,0.013176516,0.0043283403
20150130,-0.0041939016,0.008808109,0.0046142074
20150202,0.015436209,-0.01636968,-0.00093347114
20150203,-0.0011330823,0.00506722,0.0039341375
20150204,-0.00622617,0.0034780083,-0.0027481616
20150205,-0.01815433,0.02068824,0.002533909
20150206,-0.0022244467,0.008738162,0.0065137153
20150209,0.011851553,-0.013560772,-0.0017092191
20150210,0.0097338725,-0.011547356,-0.0018134834
20150211,0.0070778932,-0.00867784,-0.001599947
20150212,0.015436307,-0.014231925,0.0012043817
20150213,0.014553562,-0.01910412,-0.0045505576
20150216,0.008092219,-0.005377924,0.002714295
20150217,-0.0009950962,-0.000878135,-0.0018732311
20150225,0.011947098,-0.0077499654,0.004197133
20150226,0.008255314,-0.009899991,-0.0016446766
20150227,0.019116627,-0.019442173,-0.00032554567
20150302,-0.008249614,0.0052352953,-0.003014319
20150303,0.015310166,-0.01578408,-0.0004739128
20150304,0.00024625065,-0.005091522,-0.0048452714
20150305,-0.0063283574,0.013000374,0.0066720163
20150306,0.014167877,-0.011831026,0.0023368513
20150309,0.009978808,-0.011131266,-0.0011524577
20150310,0.0017398177,0.001535308,0.0032751258
20150311,0.002012367,0.0058368854,0.007849252
