date,long,short,long-short portfolio
20140305,0.0010742721,-0.0015984717,-0.00052419957
20140306,-0.0024279477,0.0032425225,0.00081457477
20140307,-0.033974268,0.03950561,0.005531341
20140310,0.0015081259,0.001721215,0.003229341
20140311,0.0014295024,0.002759118,0.0041886205
20140312,0.013269616,-0.009188552,0.004081064
20140313,-0.002616733,0.0052291155,0.0026123824
20140314,0.020018954,-0.021984637,-0.001965683
20140317,0.00462468,-0.0042792126,0.0003454676
20140318,0.0026319455,-0.000425481,0.0022064645
20140319,-0.023350785,0.0256323,0.002281515
20140320,0.020470131,-0.018358624,0.0021115076
20140321,0.008854487,-0.0070016226,0.0018528644
20140324,0.001163248,-0.0003718678,0.0007913802
20140325,0.0032469605,-0.004271418,-0.0010244574
20140326,-0.015705662,0.017257351,0.0015516896
20140327,-0.020243306,0.02110663,0.00086332485
20140328,-0.005323938,0.0065953475,0.0012714094
20140331,0.015050908,-0.015228316,-0.00017740857
20140401,-0.0007758169,0.00032383902,-0.0004519779
20140402,-0.0009799758,0.0011010681,0.00012109231
20140403,0.010789396,-0.010099035,0.0006903615
20140404,0.010912925,-0.008395694,0.0025172308
20140408,0.008107699,-0.010066122,-0.0019584224
20140409,0.006424914,-0.0029589338,0.0034659803
20140410,-0.002688514,0.004550632,0.001862118
20140411,0.0075077047,-0.0085056145,-0.0009979098
20140414,-0.0066655297,0.007661528,0.0009959983
20140415,0.0019007595,-0.0017059394,0.00019482011
20140416,0.00057239167,0.0017310112,0.0023034029
20140417,0.00481989,-0.0014674463,0.0033524437
20140418,-0.01541853,0.015988206,0.00056967605
20140421,-0.0071075405,0.006314246,-0.0007932945
20140422,-0.0012883914,0.0036779372,0.0023895458
20140423,-0.007988916,0.009101487,0.001112571
20140424,-0.017763011,0.021219172,0.0034561604
20140425,-0.031943746,0.029991983,-0.0019517634
20140428,0.011999555,-0.013297044,-0.0012974888
20140429,0.010149779,-0.0066663637,0.003483415
20140430,0.008509515,-0.010569357,-0.0020598425
20140505,0.0058777193,-0.0056573255,0.00022039376
