date,long,short,long-short portfolio
20190102,-0.0029595755,0.002822743,-0.00013683247
20190103,0.02305746,-0.028765775,-0.0057083145
20190104,0.019043118,-0.020306008,-0.0012628902
20190107,0.0012968702,-7.969214e-05,0.0012171781
20190108,0.00391245,-0.0025199605,0.0013924893
20190109,-0.00021010402,-0.0027725017,-0.0029826057
20190110,0.008457329,-0.0063308314,0.0021264977
20190111,-0.0023222237,0.005226511,0.0029042873
20190114,0.010655407,-0.013177525,-0.0025221184
20190115,-0.0022555203,0.003565055,0.0013095348
20190116,-0.0074532432,0.010265311,0.002812068
20190117,0.005444349,-0.0042866813,0.0011576675
20190118,0.0052121123,-0.0045924215,0.00061969087
20190121,-0.011260841,0.011241058,-1.9783154e-05
20190122,0.0024766698,-0.002023961,0.00045270892
20190123,0.0045543453,-0.0019519522,0.002602393
20190124,-0.0055548945,0.008783079,0.0032281843
20190125,-0.005148465,0.0079574315,0.0028089667
20190128,-0.015085822,0.018762238,0.0036764164
20190129,-0.0107524805,0.018381499,0.0076290183
20190130,-0.012350813,0.019075947,0.0067251343
20190131,0.023155529,-0.02797705,-0.0048215203
20190201,0.022740766,-0.030034326,-0.0072935596
20190211,0.013876425,-0.016281713,-0.0024052877
20190212,0.015575763,-0.019434102,-0.003858339
20190213,0.0026575918,-0.007718729,-0.005061137
20190214,-0.0026804376,0.00038223254,-0.0022982052
20190215,0.031812016,-0.035710312,-0.0038982965
20190218,0.002497474,-0.008233968,-0.0057364944
20190219,0.00390926,-0.0056076488,-0.0016983887
20190220,-0.0035574296,0.0041664504,0.0006090207
20190221,0.021109935,-0.024197675,-0.0030877404
20190222,0.049488734,-0.05072289,-0.0012341551
20190225,0.0025484406,0.0017945026,0.0043429434
20190226,0.001008688,0.002180806,0.003189494
20190227,0.005221697,-0.0020908383,0.0031308588
20190228,0.005551182,-0.009810075,-0.004258893
20190301,0.016348865,-0.018419452,-0.0020705871
20190304,0.024643896,-0.028227806,-0.00358391
20190305,0.022029873,-0.022538796,-0.0005089231
20190306,0.014219012,-0.016344577,-0.002125565
20190307,-0.042291917,0.04825355,0.005961634
20190308,0.04461866,-0.037183035,0.0074356236
20190311,0.016376015,-0.018857507,-0.0024814922
20190312,-0.011576045,0.02095529,0.009379245
20190313,-0.022985637,0.03531549,0.012329854
20190314,0.018620897,-0.011443849,0.0071770484
20190315,0.02552222,-0.021937942,0.0035842787
20190318,0.0044540185,-0.0056742476,-0.0012202291
20190319,0.0026092138,-0.0033034962,-0.00069428235
20190320,0.011511788,-0.014209447,-0.0026976597
20190321,0.0076689604,-0.0041351407,0.0035338197
20190322,-0.007305534,0.01068504,0.0033795056
20190325,-0.027319277,0.025537822,-0.0017814543
20190326,0.0057857954,-0.0071778647,-0.0013920693
20190327,-0.012444704,0.017543152,0.005098448
20190328,0.029736528,-0.025193175,0.004543353
20190329,0.034826152,-0.036124654,-0.0012985021
20190401,0.0064049386,-0.0058291713,0.00057576736
20190402,0.014118507,-0.010772635,0.0033458713
20190403,0.0043365657,-0.0042052674,0.00013129832
20190404,-0.0022301327,-9.253592e-06,-0.0022393863
20190408,0.0050234077,-0.005372924,-0.00034951605
20190409,9.559892e-05,-0.00020676001,-0.00011116109
20190410,-0.017014293,0.017154086,0.00013979338
20190411,0.0015344896,0.00022403442,0.001758524
20190412,-0.0058277943,0.0077405637,0.0019127694
20190415,0.021503584,-0.018948335,0.0025552493
20190416,0.0077577047,-0.009467207,-0.0017095022
20190417,-0.0063951537,0.0061043473,-0.0002908064
20190418,0.008488478,-0.007348055,0.0011404231
20190419,-0.013627086,0.011065465,-0.0025616204
20190422,-0.018259792,0.016836978,-0.0014228132
20190423,0.009580694,-0.009490766,8.992851e-05
20190424,-0.040695556,0.042765692,0.0020701364
20190425,-0.012148927,0.014093315,0.0019443883
20190426,0.0,0.0,0.0
20190429,0.0,0.0,0.0
20190430,-0.09548971,0.092883885,-0.0026058257
20190506,0.013421978,-0.012791932,0.00063004624
20190507,-0.0006855008,0.0041046124,0.0034191115
20190508,-0.0070707365,0.0108588515,0.003788115
20190509,0.034875263,-0.033747762,0.0011275001
20190510,-0.0046374216,0.006305295,0.0016678735
20190513,-0.008124345,0.008218551,9.420607e-05
20190514,0.022476057,-0.023368428,-0.00089237094
20190515,0.007915167,-0.009683564,-0.0017683972
20190516,-0.035407804,0.030926602,-0.004481202
20190517,0.0011503033,0.007931189,0.009081492
20190520,0.018421331,-0.01671128,0.0017100517
20190521,-0.004944203,0.0049283346,-1.586834e-05
20190522,-0.021096183,0.022955514,0.0018593315
20190523,-0.007876092,0.008324895,0.00044880342
20190524,0.026915617,-0.025284095,0.0016315226
20190527,0.002947832,-0.0021370556,0.0008107764
20190528,0.0028797311,-0.004524369,-0.0016446377
20190529,-0.0074160052,0.0060030036,-0.0014130017
20190530,-0.001106027,0.0030304678,0.0019244407
20190531,-0.014787846,0.012789726,-0.00199812
20190603,-0.015645538,0.015144033,-0.00050150417
20190604,0.0006392083,0.00036171885,0.0010009272
20190605,-0.023223087,0.021381803,-0.0018412843
20190606,0.009410405,-0.011167844,-0.0017574392
20190610,0.036552373,-0.03494093,0.0016114451
20190611,-0.003335752,0.005887772,0.00255202
20190612,0.006253618,-0.0061401343,0.00011348352
20190613,-0.02075009,0.017748639,-0.0030014515
20190614,0.0010606786,0.00043699937,0.001497678
20190617,-0.002202049,0.0011509843,-0.0010510646
20190618,0.012686241,-0.012910768,-0.00022452697
20190619,0.016717926,-0.016651066,6.685965e-05
20190620,0.015700728,-0.018297315,-0.002596587
20190621,0.0010089874,-0.0010144509,-5.4634875e-06
20190624,-0.00910309,0.007983454,-0.001119636
20190625,-0.0020325526,0.0020314355,-1.1171214e-06
20190626,0.0039586006,-0.005791332,-0.0018327315
20190627,-0.01091334,0.01382417,0.00291083
20190628,0.027422706,-0.026211502,0.0012112036
20190701,-0.0014592767,0.0013994134,-5.9863203e-05
20190702,-0.009094838,0.00908006,-1.4778227e-05
20190703,-0.002016618,0.0045802817,0.0025636638
20190704,0.0027440344,-0.0027468677,-2.833316e-06
20190705,-0.033617973,0.036082823,0.0024648495
20190708,0.003595039,-0.0044772765,-0.00088223745
20190709,-0.0063162497,0.007221616,0.00090536615
20190710,-0.00012686432,-0.0013658588,-0.0014927231
20190711,0.0037709435,-0.0023531641,0.0014177794
20190712,0.008089219,-0.008010153,7.906649e-05
20190715,0.0024121897,-0.0027077338,-0.00029554404
20190716,-0.00053897605,0.00015372803,-0.00038524801
20190717,-0.01632296,0.017244134,0.0009211749
20190718,0.0056219837,-0.0058421833,-0.00022019958
20190719,-0.02436896,0.028995845,0.004626885
20190722,0.009278582,-0.014324408,-0.0050458256
20190723,0.010690015,-0.011540497,-0.0008504819
20190724,0.0025018668,-0.0025724838,-7.061707e-05
20190725,0.0013844045,-0.0003065585,0.0010778459
20190726,-0.002228666,0.0014028236,-0.0008258425
20190729,0.004284735,-0.0043736226,-8.8887755e-05
20190730,-0.006353925,0.007882159,0.0015282342
20190731,-0.0049049505,0.005040976,0.00013602572
20190801,-0.01672902,0.01564971,-0.0010793097
20190802,-0.0124738775,0.011974091,-0.0004997868
20190805,-0.029069677,0.029069042,-6.35162e-07
20190806,-0.0022496614,0.0027204105,0.0004707491
20190807,0.00550854,-0.0059077563,-0.00039921608
20190808,-0.011689869,0.01276636,0.0010764915
20190809,0.014859714,-0.017535644,-0.00267593
20190812,-0.0064189984,0.0060238084,-0.00039518997
20190813,0.0055748234,-0.0051537915,0.00042103184
20190814,0.0017514771,-0.0034580221,-0.001706545
20190815,0.005358567,-0.004067461,0.001291106
20190816,0.028094146,-0.02915654,-0.0010623932
20190819,0.0007938795,-0.0042384393,-0.0034445599
20190820,0.000702315,0.0005192127,0.0012215277
20190821,0.004262077,-0.005618561,-0.0013564839
20190822,-0.0013269959,0.0014695179,0.00014252204
20190823,-0.008008784,0.007291744,-0.0007170397
20190826,0.019020267,-0.020167748,-0.0011474807
20190827,0.002734493,0.0012601994,0.003994692
20190828,-0.0010960568,3.400154e-05,-0.0010620552
20190829,-0.011346297,0.016293801,0.004947504
20190830,0.022675991,-0.02175449,0.00092150085
20190902,0.004824247,-0.0067591816,-0.0019349344
20190903,0.008142913,-0.0074335067,0.0007094061
20190904,0.008768227,-0.008272092,0.0004961351
20190905,0.0032853333,-0.002884786,0.00040054717
20190906,0.016894873,-0.019483335,-0.002588462
20190909,0.0014463762,-0.004602556,-0.00315618
20190910,-0.0044007706,0.008068552,0.0036677816
20190911,0.0068043433,-0.005444807,0.0013595363
20190912,0.0028073282,-0.0042133713,-0.0014060431
20190916,-0.023441605,0.022419337,-0.0010222681
20190917,0.0014949836,0.0014488037,0.0029437873
20190918,0.008717278,-0.009933056,-0.0012157783
20190919,0.0010524434,5.559143e-05,0.0011080349
20190920,-0.011342181,0.008343819,-0.0029983623
20190923,0.002724338,-0.000119120756,0.0026052173
20190924,-0.015908178,0.020742908,0.00483473
20190925,-0.022719484,0.031032145,0.008312661
20190926,0.007604057,-0.007920891,-0.00031683408
20190927,-0.008942923,0.011654589,0.0027116667
20190930,0.0024062474,-0.002184089,0.00022215839
20191008,0.009255162,-0.009575131,-0.0003199689
20191009,0.011367086,-0.011855376,-0.00048828963
20191010,0.004976829,-0.002524498,0.0024523311
20191011,0.0146932,-0.01662467,-0.0019314708
20191014,-0.006584958,0.015538753,0.008953795
20191015,-0.006327182,0.007543669,0.001216487
20191016,-0.002636517,0.00054537645,-0.0020911405
20191017,-0.011324313,0.0140679125,0.0027436
20191018,-0.0004899657,0.0028348668,0.002344901
20191021,0.009273823,-0.009486864,-0.00021304097
20191022,-0.0043972386,0.008479852,0.0040826136
20191023,0.0002140867,0.002170166,0.0023842526
20191024,0.007205543,-0.00606934,0.0011362033
20191025,0.013988023,-0.01950986,-0.0055218367
20191028,-0.0112947915,0.014471305,0.0031765131
20191029,-0.011741359,0.012735658,0.0009942995
20191030,-0.0109006595,0.010248829,-0.0006518308
20191031,0.008162037,-0.009531294,-0.0013692575
20191101,0.0015333891,-0.0031715487,-0.0016381596
20191104,0.0015020471,-0.001318599,0.00018344808
20191105,-0.008321577,0.009747591,0.0014260141
20191106,0.003712467,-0.0066586807,-0.0029462138
20191107,-0.0025576567,0.0038882492,0.0013305924
20191108,-0.025332112,0.023286507,-0.0020456053
20191111,0.0020565647,-0.0048295325,-0.0027729678
20191112,-0.003958377,0.0053596837,0.0014013066
20191113,0.003290038,-0.0061703594,-0.0028803213
20191114,-0.011772045,0.014433234,0.002661189
20191115,0.0067959814,-0.0064833327,0.0003126487
20191118,0.014383409,-0.018089503,-0.0037060939
20191119,-0.0055012214,0.0050789905,-0.00042223092
20191120,0.0010877965,0.0011524858,0.0022402825
20191121,-0.0035338602,0.010122657,0.0065887966
20191122,0.008859349,0.00426663,0.013125979
20191125,-0.0027565625,0.002050388,-0.00070617464
20191126,-0.0023720684,0.0016775908,-0.0006944776
20191127,-0.003447301,0.0026304815,-0.0008168195
20191128,0.002075502,-0.00041626603,0.0016592359
20191129,7.8911544e-05,-0.0017775947,-0.0016986831
20191202,0.005592222,-0.0049448987,0.0006473232
20191203,0.0018156804,-0.0004908487,0.0013248317
20191204,0.0068927477,-0.010690953,-0.003798205
20191205,0.0042160163,-0.0077837547,-0.0035677385
